ESCUELA BASICA PART SANTA MARIA DE ESMERALDA,COLINA,263,,Más Alto,$1.000 a $10.000 ,P. Subv.
ESCUELA BAS. VALLE VERDE,COLINA,243,,Más Alto,$1.000 a $10.000 ,P. Subv.
ESCUELA BAS. REINA NORTE,COLINA,216,,Más Bajo,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR PAPELUCHO,COLINA,239,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR DESIREE,COLINA,285,,Más Alto,$10.001 a $25.000 ,P. Subv.
COLEGIO ABERSAN,COLINA,265,,Más Alto,$10.001 a $25.000 ,P. Subv.
COLEGIO POLIVALENTE SEMBRADOR,COLINA,261,,Más Alto,$10.001 a $25.000 ,P. Subv.
COLEGIO SAN ANTONIO DE COLINA,COLINA,291,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA INMACULADA CONCEPCION,COLINA,247,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESC. BASICA  SAN BENITO DE COLINA ,COLINA,263,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. SAN SEBASTIAN DE COLINA,COLINA,266,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA MARCOS GOOYCOLEA CORTES,COLINA,240,,Más Alto,Gratuito ,Munic.
ESCUELA BASICA SANTA TERESA DEL CARMELO,COLINA,255,,Más Alto,Gratuito ,Munic.
ESCUELA PREMIO NOBEL PABLO NERUDA,COLINA,262,,Más Alto,Gratuito ,Munic.
ANDALIEN DE COLINA,COLINA,233,,Más Bajo,Gratuito ,Munic.
LICEO ESMERALDA,COLINA,237,,Más Bajo,Gratuito ,Munic.
ESCUELA BASICA ALGARROBAL,COLINA,261,,Más Alto,Gratuito ,Munic.
ESC.BASICA CORONEL ENRIQUE CABRERA J.,COLINA,240,,Similar,Gratuito ,Munic.
ESC.BASICA FRANCISCO PETRINOVIC KARLOVAC,COLINA,269,,Más Alto,Gratuito ,Munic.
ESCUELA BASICA SAN VICENTE DE LO ARCAYA,COLINA,236,,Más Bajo,Gratuito ,Munic.
ESCUELA BASICA SANTA MARTA DE LIRAY,COLINA,250,,Más Alto,Gratuito ,Munic.
ESCUELA SAN FRANCISCO DE ASIS,COLINA,279,,Más Alto,Gratuito ,Munic.
ESCUELA PARTICULAR JUAN CALVINO,COLINA,241,,Más Alto,Gratuito ,P. Subv.
ESCUELA PART. STA. CLARISA DE COLINA,COLINA,229,,Más Bajo,Gratuito ,P. Subv.
ESCUELA DE PARV. PART. SAN JORGE DE COLINA,COLINA,274,,Más Alto,Gratuito ,P. Subv.
COLEGIO SAN  ANSELMO,COLINA,313,,Más Alto,Más de $100.000 ,P. Pag.
COLEGIO RAYEN MAHUIDA,COLINA,285,,Más Bajo,Más de $100.000 ,P. Pag.
COLEGIO SAN NICOLÁS DIÁCONO,COLINA,298,,Más Bajo,Más de $100.000 ,P. Pag.
COLEGIO SANTA CRUZ DE CHICUREO,COLINA,303,,Más Alto,Más de $100.000 ,P. Pag.
COLEGIO MONTESSORI PUCALAN,COLINA,287,,Más Bajo,Más de $100.000 ,P. Pag.
COLEGIO  SAN JOSE DE CHICUREO,COLINA,314,,Más Alto,Más de $100.000 ,P. Pag.
COLEGIO HIGHLANDS,COLINA,296,,Similar,Más de $100.000 ,P. Pag.
COLEGIO DEL VERBO DIVINO DE CHICUREO,COLINA,296,,Más Bajo,Más de $100.000 ,P. Pag.
ESCUELA BASICA N°2230 LINCOLN INTERN ACADEMY VALLE N,COLINA,299,,Más Bajo,Más de $100.000 ,P. Pag.
COLEGIO DUNALASTAIR VALLE NORTE,COLINA,299,,Similar,Más de $100.000 ,P. Pag.
PUMAHUE CHICUREO,COLINA,303,,Más Alto,Más de $100.000 ,P. Pag.
COLEGIO SAN ANDRES DE COLINA,COLINA,274,,Más Alto,Sin información ,P. Subv.
ESCUELA BASICA INES DE SUAREZ,CONCHALÍ,237,,Más Bajo,$1.000 a $10.000 ,P. Subv.
ESC. PART. UNION LATINOAMERICANA,CONCHALÍ,239,,Más Bajo,$1.000 a $10.000 ,P. Subv.
ESCUELA PART. ADVENTISTA SANTIAGO NORTE,CONCHALÍ,253,,Más Bajo,$1.000 a $10.000 ,P. Subv.
COLEGIO CRISTOBAL COLON,CONCHALÍ,261,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO LIBERTADOR SAN MARTIN,CONCHALÍ,244,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR EL CARMEN,CONCHALÍ,258,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA PATROCINIO EL SEMBRADOR N 2,CONCHALÍ,272,,Similar,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR PARQUE ASUNCION,CONCHALÍ,272,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. ISABEL GONZALEZ CARES,CONCHALÍ,259,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR ANDRES ALBERTO,CONCHALÍ,256,,Más Bajo,$10.001 a $25.000 ,P. Subv.
CENTRO POLITECNICO PARTICULAR CONCHALI,CONCHALÍ,256,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. SAN MATEO SCHOOL DE CONCHALI,CONCHALÍ,246,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. CRISTIANO EL SEMBRADOR,CONCHALÍ,239,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR SAN DIEGO,CONCHALÍ,268,,Más Alto,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA PART. THE LITTLE SCHOOL,CONCHALÍ,291,,Más Alto,$25.001 a $50.000 ,P. Subv.
COLEGIO HELLEN'S COLLEGE,CONCHALÍ,270,,Más Alto,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA PART.MARY ANNE SCHOOL,CONCHALÍ,263,,Más Bajo,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA PARTICULAR TRUPAN,CONCHALÍ,307,,Más Alto,$25.001 a $50.000 ,P. Subv.
LICEO POETA FEDERICO GARCIA LORCA,CONCHALÍ,219,,Más Bajo,Gratuito ,Munic.
LICEO POLIV. ABDON CIFUENTES,CONCHALÍ,256,,Más Alto,Gratuito ,Munic.
LICEO AGUSTIN EDWARDS,CONCHALÍ,254,,Similar,Gratuito ,Munic.
ESCUELA UNESCO,CONCHALÍ,237,,Más Alto,Gratuito ,Munic.
ESCUELA D-114,CONCHALÍ,237,,Más Bajo,Gratuito ,Munic.
ESCUELA SOL NACIENTE,CONCHALÍ,237,,Más Bajo,Gratuito ,Munic.
ESCUELA HORACIO JOHNSON GANA,CONCHALÍ,233,,Más Bajo,Gratuito ,Munic.
ESCUELA DRA.ELOISA DIAZ INSUNZA,CONCHALÍ,244,,Más Bajo,Gratuito ,Munic.
LICEO MUNC.ALMIRANTE GALVARINO RIVEROS,CONCHALÍ,233,,Más Bajo,Gratuito ,Munic.
ESCUELA ARAUCARIAS DE CHILE,CONCHALÍ,229,,Más Bajo,Gratuito ,Munic.
ESCUELA VALLE DEL INCA,CONCHALÍ,245,,Más Alto,Gratuito ,Munic.
ESCUELA PEDRO AGUIRRE CERDA,CONCHALÍ,232,,Más Bajo,Gratuito ,Munic.
ESCUELA ALLIPEN,CONCHALÍ,222,,Más Bajo,Gratuito ,Munic.
CENTRO EDUC. POETA EUSEBIO LILLO,CONCHALÍ,246,,Más Alto,Gratuito ,Munic.
ESCUELA ATENEA,CONCHALÍ,261,,Similar,Gratuito ,Munic.
ESCUELA AVIADOR DAGOBERTO GODOY F.,CONCHALÍ,265,,Más Alto,Gratuito ,Munic.
ESCUELA BASICA LIKAN-ANTAI,CONCHALÍ,205,,Más Bajo,Gratuito ,Munic.
ESCUELA CAMILO HENRIQUEZ,CONCHALÍ,242,,Más Bajo,Gratuito ,Munic.
LICEO PART.SUBVENCIONADO AVDA PRINCIPAL,CONCHALÍ,219,,Más Bajo,Gratuito ,P. Subv.
ESC. PART. BLUE BELL,CONCHALÍ,227,,Más Bajo,Gratuito ,P. Subv.
ESCUELA PARTICULAR ZOLTAN DIENES,CONCHALÍ,247,,Más Alto,Gratuito ,P. Subv.
ESC. BASICA LA PRADERA DE CURACAVI,CURACAVÍ,263,,Más Bajo,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR INSTITUTO SN.LUIS,CURACAVÍ,262,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA PART.  CURACAVI COLLEGE,CURACAVÍ,267,,Más Alto,$10.001 a $25.000 ,P. Subv.
COLEGIO CARPE DIEM DE CURACAVI,CURACAVÍ,275,,Más Alto,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA DOLMEN,CURACAVÍ,270,,-,$50.001 a $100.000 ,P. Pag.
ESCUELA BASICA VALLE DE PUANGUE,CURACAVÍ,235,,Más Bajo,Gratuito ,Munic.
ESCUELA SAN JOSE OBRERO DE CURACAVI,CURACAVÍ,247,,Más Alto,Gratuito ,Munic.
ESCUELA FERNANDO CARVAJAL PINTO,CURACAVÍ,273,,Más Alto,Gratuito ,Munic.
