agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,numero_alumnos
2013,1271,ESCUELA JOS? ANTONIO MANSO DE VELASCO,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.74510517,-70.72890308,291
2013,1273,ESCUELA SAN RAFAEL,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.80864400,-70.65004405,27
2013,1274,ESCUELA ALMENDRAL,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.75162111,-70.69092628,167
2013,1275,ESCUELA BUEN PASTOR,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.75533055,-70.72120234,479
2013,1276,ESCUELA ESPECIAL SAGRADO CORAZON,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,0.00000000,0.00000000,99
2013,1279,ESCUELA CARMELA CARVAJAL DE PRAT,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.78559388,-70.68572850,237
2013,1280,ESCUELA 21 DE MAYO,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.69432708,-70.76521203,187
2013,1281,ESCUELA REPUBLICA ARGENTINA,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.76432508,-70.68250936,61
2013,1282,ESCUELA BUCALEMITO,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.80839331,-70.68511225,116
2013,1283,ESCUELA HERIBERTO BERMUDEZ CRUZ,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.71551634,-70.72609144,103
2013,1285,ESCUELA MATEO COKLJAT K,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.78680555,-70.71406744,108
2013,1286,ESCUELA BASICA CAROLINA OCAMPO GARCIA,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.72199710,-70.77417526,68
2013,1287,ESCUELA JOSE BERNARDO SUAREZ,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.71135086,-70.74618469,67
2013,1288,INSTITUTO ABDON CIFUENTES,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Pagado,Urbano,Funcionando,-32.75341811,-70.72385519,808
2013,1289,COLEGIO ASSUNTA PALLOTA,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Rural,Funcionando,-32.78700991,-70.68840319,340
2013,1290,COLEGIO SANTA JUANA DE ARCO,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.75177876,-70.72828492,635
2013,1291,COLEGIO JOSE AGUSTIN GOMEZ,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.74632136,-70.72638656,502
